"","loser","year","month","gaintype","procedur","entity","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","v21","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","polity21","polity22","ter","panel","lead1","lagtc1","window5","window10","window20","dyad","rivnumb","rivalry","rivala","rivalb","beginr","endr","totdisp","rivtyp2","rivtypold","rivals"
"1",220,1924,2,NA,3,601,NA,363,50000,1,0,0,0,0,547,0,0,4.01,1,NA,1,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,"0220",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",101,1922,3,1,3,101,1,1,100,0,1,1,0,0,536,0,0,4.01,1,NA,1,22,0,0.000766,0.001286,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,406,0,NA,0,0,0,"100101",257,100101,100,101,"1982","2000",12,"RIVALRY","PROTO",1
"4",130,1832,12,1,3,130,1,140976,276249,0,1,1,0,0,67,0,0,4.01,1,NA,1,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,0,NA,1,1,1,"100130",259,100130,100,130,"1932","1932",1,"ISOLATED","ISOLATED",0
"6",135,1934,12,1,3,135,1,113882,40000,0,1,1,0,0,565,0,0,4.01,1,NA,1,34,0,0.001368,0.002063,0,0,1,6,0,0,0,0,1,1141,114101,3,3,1141,1,0,1,NA,0,NA,0,0,0,0,7,8,2,1,2,5,1,408,0,NA,0,0,0,"100135",260,100135,100,135,"1852","1852",2,"ISOLATED","ISOLATED",0
"8",100,1907,4,1,3,100,1,162500,NA,0,1,1,0,0,419,0,0,4.01,1,NA,1,7,0,0.001312,0.010843,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,477,0,NA,0,0,0,"140100",263,100140,100,140,"1932","1933",1,"ISOLATED","ISOLATED",0
"9",230,1821,6,1,1,101,1,1082207,800000,1,0,0,0,0,41,0,1,4.01,0,NA,0,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,NA,NA,0,0,0,"100230",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10",230,1822,5,1,1,130,1,550685,600000,1,0,0,0,0,44,0,1,4.01,0,NA,0,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,NA,101,0,0,0,"100230",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11",101,1859,NA,1,3,101,1,156000,NA,0,1,1,0,0,134,0,0,4.01,1,NA,1,59,0,0.00141,0.008712,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,478,0,NA,0,0,0,"140101",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"12",200,1899,10,1,3,110,1,1,NA,0,0,0,0,0,380,0,0,4.01,1,NA,1,99,0,0.168645,0.00061,1,0,6,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,0,423,0,NA,0,0,0,"101200",280,101200,101,200,"1982","1982",1,"ISOLATED","ISOLATED",0
"15",101,1899,10,0,3,101,0,155400,NA,0,1,1,0,0,383,0,0,4.01,1,NA,1,99,0,0.00061,0.168645,0,1,6,1,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,0,583,0,NA,0,0,0,"200101",280,101200,101,200,"1982","1982",1,"ISOLATED","ISOLATED",0
"18",1,1955,5,1,NA,260,NA,247476,50200000,1,NA,NA,1,0,665,0,0,4.01,NA,NA,NA,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,NA,NA,0,0,0,"2601",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"19",130,1942,1,1,3,130,1,190807,31000,0,1,1,0,0,589,0,1,4.01,1,NA,0,42,0,0.000732,0.001458,0,0,1,6,0,0,1,1154,0,0,0,4,4,1154,1,0,1,NA,0,NA,4,NA,3,NA,17,15,1,2,NA,2,1,464,1,NA,1,1,1,"135130",295,130135,130,135,"1977","1998",12,"RIVALRY","ENDURING",0
"22",130,1904,5,1,3,130,1,67600,NA,0,1,1,0,0,406,0,0,4.01,1,NA,1,4,0,0.000379,0.010137,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,481,0,NA,0,0,0,"140130",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"23",1,1955,7,1,NA,305,NA,83869,6947000,1,NA,NA,1,0,666,0,0,4.01,NA,NA,NA,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1510,NA,NA,0,0,0,"3051",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"24",325,1947,2,NA,3,520,NA,461541,1086000,1,0,0,0,0,626,0,1,4.01,1,NA,0,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,0,"1325",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"25",1,1949,4,0,6,520,0,461541,1086000,1,NA,NA,0,0,638,0,0,4.01,0,NA,0,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584,NA,NA,0,0,0,"3251",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"26",1,1954,10,1,3,326,1,223,297000,0,NA,NA,0,0,658,0,0,4.01,1,NA,1,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584,NA,520,0,0,0,"3251",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"27",1,1954,10,1,3,326,1,516,62725,0,NA,NA,0,0,659,0,0,4.01,1,NA,1,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1768,NA,NA,0,0,0,"3451",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"28",145,1909,NA,1,3,145,1,26000,NA,0,1,1,0,0,426,0,0,4.01,1,NA,1,9,0,0.000423,0.001168,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,466,1,NA,1,1,1,"135145",300,135145,135,145,"1875","1875",1,"ISOLATED","ISOLATED",0
"30",135,1883,10,1,1,135,0,51480,20000,0,1,1,0,0,262,0,1,4.01,0,NA,0,83,0,0.00136,0.002564,0,0,1,6,0,0,1,1518,0,0,0,5,5,1518,1,1,1,NA,1,NA,6,NA,6,NA,20,20,1,2,NA,3,1,522,NA,NA,0,0,0,"155135",10302,135155,135,155,"1852","1921",8,"RIVALRY","ENDURING",0
"32",155,1929,6,1,3,155,1,8498,30000,0,1,1,0,0,557,0,0,4.01,1,NA,1,29,0,0.002947,0.001564,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,467,0,NA,0,0,0,"135155",10302,135155,135,155,"1852","1921",8,"RIVALRY","ENDURING",1
"34",145,1903,11,1,3,145,1,191000,70000,0,1,1,0,0,402,0,0,4.01,1,NA,1,3,0,0.000455,0.00994,0,0,1,6,0,0,1,1178,0,0,0,3,4,1178,0,1,0,NA,1,NA,0,0,0,0,8,13,1,2,2,NA,1,483,0,NA,0,0,0,"140145",310,140145,140,145,"1928","1928",1,"ISOLATED","ISOLATED",0
"36",140,1903,NA,1,3,140,1,3108,NA,0,1,1,0,0,403,0,0,4.01,1,NA,1,3,0,0.00994,0.000455,0,0,1,6,0,0,1,1178,0,0,0,4,3,1178,1,0,1,NA,0,NA,0,0,0,0,13,8,1,2,NA,2,1,497,0,NA,0,0,0,"145140",310,140145,140,145,"1928","1928",1,"ISOLATED","ISOLATED",0
"38",145,1907,NA,1,3,145,1,65000,NA,0,1,1,0,0,420,0,0,4.01,1,NA,1,7,0,0.000465,0.010843,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,0,483,0,NA,0,0,0,"140145",310,140145,140,145,"1928","1928",1,"ISOLATED","ISOLATED",0
"40",145,1867,NA,1,3,145,1,162500,NA,0,1,1,0,0,179,0,0,4.01,1,NA,1,67,0,0.000419,0.013731,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,483,0,NA,0,0,0,"140145",310,140145,140,145,"1928","1928",1,"ISOLATED","ISOLATED",0
"42",150,1870,6,1,3,150,1,65000,NA,0,1,1,0,0,200,0,1,4.01,1,NA,0,70,0,0.000208,0.009417,0,0,1,6,0,0,1,1590,0,0,0,5,5,1590,0,1,0,NA,4,NA,6,NA,6,NA,20,20,2,2,NA,NA,NA,484,0,NA,0,0,0,"140150",312,140150,140,150,"1928","1930",2,"ISOLATED","ISOLATED",0
"44",150,1895,NA,1,3,150,1,13000,NA,0,1,1,0,0,351,0,0,4.01,1,NA,1,95,0,0.000157,0.009019,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,484,0,NA,0,0,0,"140150",312,140150,140,150,"1928","1930",2,"ISOLATED","ISOLATED",1
"46",165,1851,NA,1,3,165,1,104000,NA,0,1,1,0,0,110,0,0,4.01,1,NA,1,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,0,NA,0,0,0,"140165",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"47",145,1935,10,1,1,145,1,233100,35000,0,1,1,0,0,568,0,0,4.01,0,NA,0,35,0,0.001846,0.000609,0,0,1,6,0,0,1,1027,1,1211,121101,5,5,1027,1,1,1,NA,1,NA,6,NA,6,NA,20,20,1,1,2,NA,1,511,1,NA,1,1,1,"150145",10333,145150,145,150,"1886","1938",19,"RIVALRY","ENDURING",0
"48",145,1866,12,1,3,145,1,42896,NA,0,1,1,0,0,170,0,0,4.01,1,NA,1,66,0,0.000419,0.001657,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,523,0,NA,0,0,1,"155145",339,145155,145,155,"1962","1962",1,"ISOLATED","ISOLATED",0
"52",145,1884,4,1,1,145,1,50215,14000,0,1,1,0,0,265,0,1,4.01,0,NA,0,84,0,0.000433,0.002502,0,0,1,6,0,0,0,0,0,0,0,1,4,1516,0,1,0,NA,2,NA,0,0,0,0,0,13,4,2,2,3,NA,523,0,NA,0,0,0,"155145",339,145155,145,155,"1962","1962",1,"ISOLATED","ISOLATED",0
"56",150,1874,6,1,3,150,1,117000,NA,0,1,1,0,0,201,0,1,4.01,1,NA,0,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,0,NA,0,0,0,"160150",348,150160,150,160,"1865","1870",1,"ISOLATED","ISOLATED",0
"61",160,1878,NA,1,3,160,1,1,10,0,1,1,0,0,232,0,0,4.01,1,NA,1,78,0,0.00294,0.000138,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,512,0,NA,0,0,0,"150160",348,150160,150,160,"1865","1870",1,"ISOLATED","ISOLATED",0
"66",1,1952,9,1,5,531,1,124000,1000000,1,NA,NA,0,0,653,0,0,4.01,0,NA,0,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2586,NA,NA,0,0,0,"5301",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"67",155,1881,NA,1,3,155,1,1,10,0,1,1,0,0,255,0,0,4.01,1,NA,1,81,1,0.002316,0.00325,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,537,0,NA,0,1,1,"160155",355,155160,155,160,"1843","1844",1,"ISOLATED","ISOLATED",1
