"","gainer","loser","year","pop","month","gaintype","procedur","entity","contgain","area","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","ter","claim","dyadnum","name","begclaim","resolved","endviol","homec","homet","offshore","contc","contt","entirecl","resource","stratloc","idenc","ident","histc","histt","dyad","panel","window5","window10","window20","outstanding.claim5","outstanding.claim10","outstanding.claim20"
"1",2,4,1898,109020,8,0,2,4,0,16638,1,1,NA,0,0,366,0,0,4.01,0,0,98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,0,0,0,0,0,0
"2",2,7,1845,35162,3,1,2,7,1,1010472,1,1,NA,0,0,94,0,0,4.01,0,0,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,0,0,0,0,0,0
"764",2,70,1848,295574,2,1,3,70,1,1370153,0,1,1,0,0,103,0,1,4.01,1,0,48,0,0.008682,0.087174,0,0,1,6,0,0,1,1552,0,0,0,5,5,1552,0,1,0,NA,1,NA,6,NA,6,NA,20,20,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,20,1,1,1,0,0,0
"769",2,70,1853,96000,12,1,3,70,1,76768,0,1,1,0,0,116,0,0,4.01,1,1,53,0,0.00859,0.078744,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,20,1,1,1,0,0,0
"1064",2,91,1863,NA,NA,0,2,91,0,5,0,1,1,0,0,159,0,0,4.01,0,0,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,23,0,0,1,0,0,0
"1302",2,93,1916,NA,6,0,3,93,0,10,0,1,1,0,0,459,0,0,4.01,1,1,16,0,0.000111,0.232939,0,1,6,4,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,25,0,1,1,0,0,0
"1484",2,95,1903,21650,11,0,3,96,0,1678,1,1,1,0,0,400,0,0,4.01,1,1,3,0,5.2e-05,0.2105,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,27,0,0,1,0,0,0
"2779",2,200,1818,NA,10,1,3,20,1,84240,0,0,0,0,0,30,0,0,4.01,1,1,18,0,0.329248,0.036127,1,0,6,1,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,40,0,0,1,0,0,0
"2803",2,200,1842,NA,8,1,3,20,1,18130,0,0,0,0,0,82,0,0,4.01,1,1,42,0,0.297635,0.049301,1,0,6,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,40,1,1,1,0,0,0
"2807",2,200,1846,13323,6,1,3,20,1,739652,0,0,0,0,0,96,0,0,4.01,1,1,46,0,0.302888,0.082757,1,0,6,1,20,0,0,0,1,373,37301,3,1,373,1,1,1,NA,1,NA,0,0,0,0,7,0,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,40,0,1,1,0,0,0
