"","claim","entity","name","X","year","dyad","claimdy","dispnum3","mid1","window5","window10","window20","claim1","outstanding.claim.5","outstanding.claim.10","outstanding.claim.20","X.1","loser","gainer","month","gaintype","procedur","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolent.agreement","arbadj2","arbadj0","rivnumb","rivalry","totdisp","rivtyp2","rivtypold","scale","rivals","conttype","cap1","cap2","caprat","polity1","polity2","joint.dem","DispNum3","DispNum41","StAbb1","ccode1","StDay1","StMon1","StYear1","EndDay1","EndMon1","EndYear1","SideA1","RevState1","RevType11","RevType21","Fatality1","FataPre1","HiAct1","HostLev1","Orig1","DispNum42","StAbb2","ccode2","SideA2","RevState2","RevType12","RevType22","Fatality2","FataPre2","HiAct2","HostLev2","Orig2","region","chal","tgt","begclaim","endclaim","resolved","endviol","icowsal","icowsalc","salchal","saltgt","saltan","salint","salintc","salintt","midsiss","midsfat","warsiss","existing.claim","new.claim.1","new.claim.5","new.claim.10","new.claim.20","cname","match","partial"
"1",4,20,"St. Croix-St. John Rivers",6534,1842,2200,401,NA,0,1,1,1,1,1,1,1,16125,200,2,8,1,3,1,18130,NA,0,0,0,0,0,82,0,0,4.01,1,1,0,0,41,2200,8,"RIVALRY","ENDURING",NA,1,0,0.0493011,0.2976352,0.165642706239047,9,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,200,1816,1842,4,0,5,2,3,2,2,3,2,1,1,0,0,1,0,0,0,0,"St. Croix-St. John Rivers",1,1
"2",4,2,"St. Croix-St. John Rivers",579,1818,2200,401,NA,0,0,0,0,1,1,1,1,16099,2,200,10,0,3,0,41600,NA,0,1,1,0,0,32,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.3292484,0.0361265,9.1137641343612,-2,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,200,1816,1842,4,0,5,2,3,2,2,3,2,1,1,0,0,1,0,0,0,0,"St. Croix-St. John Rivers",1,1
"3",4,2,"St. Croix-St. John Rivers",6535,1842,2200,401,NA,0,1,1,1,1,1,1,1,16124,2,200,8,0,3,0,12950,NA,0,1,1,0,0,83,0,0,4.01,1,1,0,0,41,2200,8,"RIVALRY","ENDURING",NA,1,0,0.2976352,0.0493011,6.0370904503145,3,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,200,1816,1842,4,0,5,2,3,2,2,3,2,1,1,0,0,1,0,0,0,0,"St. Croix-St. John Rivers",1,1
"4",4,20,"St. Croix-St. John Rivers",580,1818,2200,401,NA,0,0,0,0,1,1,1,1,16100,200,2,10,1,3,1,84240,NA,0,0,0,0,0,30,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0361265,0.3292484,0.109724147482569,9,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,200,1816,1842,4,0,5,2,3,2,2,3,2,1,1,0,0,1,0,0,0,0,"St. Croix-St. John Rivers",1,1
"5",8,20,"San Juan Islands",13979,1872,2200,804,NA,0,0,1,1,1,1,1,1,16156,200,2,10,1,3,1,NA,NA,0,0,0,0,0,212,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1152826,0.2377545,0.484880832960049,10,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,200,1846,1872,12,0,7,2,4,3,4,3,2,1,0,0,0,1,0,0,0,0,"Oregon Country",0,0
"6",8,20,"Oregon Country",7527,1846,2200,801,373,0,0,0,0,1,1,1,1,16129,200,2,6,1,3,1,739652,13323,0,0,0,0,0,96,0,0,4.01,1,1,0,0,41,2200,8,"RIVALRY","ENDURING",NA,1,0,0.0827573,0.3028882,0.27322721717122,10,3,0,373,NA,"UKG",200,NA,1,1846,8,6,1846,1,1,1,NA,0,0,7,3,1,NA,"USA",2,0,1,1,NA,0,0,0,1,1,1,2,200,1816,1846,4,0,7,2,4,3,4,3,2,1,1,0,0,1,0,0,0,0,"Oregon Country",1,1
"7",8,2,"Oregon Country",7528,1846,2200,801,373,0,0,0,0,1,1,1,1,16130,2,200,6,0,3,0,429536,89000,0,1,1,0,0,97,0,0,4.01,1,1,0,0,41,2200,8,"RIVALRY","ENDURING",NA,1,0,0.3028882,0.0827573,3.65995749015495,3,10,0,373,NA,"UKG",200,NA,1,1846,8,6,1846,1,1,1,NA,0,0,7,3,1,NA,"USA",2,0,1,1,NA,0,0,0,1,1,1,2,200,1816,1846,4,0,7,2,4,3,4,3,2,1,1,0,0,1,0,0,0,0,"Oregon Country",1,1
"8",8,40,"Oregon Country",846,1819,2230,802,NA,0,0,0,0,1,1,1,1,19637,230,2,2,1,3,1,186488,54477,0,0,0,0,0,36,0,0,4.01,1,1,0,0,49,2230,8,"RIVALRY","PROTO",NA,1,0,0.0371333,0.0427772,0.868062893317001,9,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,230,1816,1821,4,0,4,1,3,1,2,1,2,0,0,0,0,1,0,0,0,0,"Oregon Country",1,1
"9",10,3,"Alaska",12768,1867,2365,1002,NA,0,0,0,0,0,0,0,0,21844,365,2,10,0,3,0,1518775,54000,1,1,1,0,0,178,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1141338,0.0761105,1.49958021560757,8,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,365,1822,1867,4,0,7,2,3,4,6,2,0,1,0,0,0,1,0,0,0,0,"Alaska",1,1
"10",10,20,"Alaska",21685,1903,2200,1003,3301,0,0,0,0,0,0,0,0,16187,200,2,10,1,3,1,1,NA,0,0,0,0,0,399,0,0,4.01,1,1,0,0,43,2200,3,"RIVALRY","PROTO",NA,1,0,0.2105013,0.1429793,1.47225017887205,10,8,1,3301,NA,"USA",2,1,10,1903,20,10,1903,1,1,1,NA,0,0,1,2,1,NA,"UKG",200,0,1,1,NA,0,0,0,1,1,1,200,2,1872,1903,4,0,7,2,3,4,6,1,0,1,2,0,0,1,0,0,0,0,"Alaska",1,1
